Dataset,Model,Accuracy,Precision,Recall,F1-score
bot-iot,RandomForest,1.0,1.0,1.0,1.0
bot-iot,XGBoost,0.9999982963180025,0.9999983190337624,0.9999982963180025,0.9999983020343305
bot-iot,LightGBM,1.0,1.0,1.0,1.0
ton-iot-modbus,RandomForest,0.9845708775313404,0.984787329221894,0.9845708775313404,0.9845749102545605
ton-iot-modbus,XGBoost,0.8248151719704275,0.8248115281819451,0.8248151719704275,0.8247415338146302
ton-iot-modbus,LightGBM,0.7492767598842816,0.7537715766680979,0.7492767598842816,0.7471439898144012
